productid	name	brand	offerid	category	description	price	image	url	availability	shipping	special	expirationdate	oldprice
173	Enate Crianza 1998	Enate	E-EN1212	Rotwein|Spanien	Eine Rarität des perfekten Enate-Crianzas aus dem Superjahr 1998 : nur noch wenige Flaschen auf Lager Flascheninhalt: 0,75 ltr. Charakter: Ausbau im Barrique, dunkles Bordeauxrot m. bläulichen Reflexen. Guter Stoff, eleganter Vanilleton, feine Würze, zart rauchig, beerige Fülle, dicht und fleischig Rebsorte: Tempranillo, Cabernet Sauvignon Auszeichnungen: Guia Gourmets 7,5 Punkte ; Guia Penin 80, R.Parker: 87 Punkte Das Weingut: Das Weingut liegt an der Südflanke der Pyrenäen. Enate ist ein Dörfchen an einem Flußlauf, der das Gletscherwasser nach Süden führt. Um dieses Dorf liegen die Weinberge der Bodega. Das Klima ist anders als im übrigen Spanien. Sehr kalte, schneereiche Winter wechseln mit langen sonnigen Sommern. Es ist ausreichend Wasser da und von den Bergen weht stets eine Brise. Ein Klima, das nicht nur für rote, sondern auch für weiße Rebsorten optimale Voraussetzungen bietet. Die Bodega ist jung im doppelten Sinn. Sie ist erst vor wenigen Jahren gegründet und wird von einem jungen und sehr kompetenten Team geführt. Der Weinmacher, Jesus Artajona, ist in Bordeaux ausgebildet und hat auf Chateau Margaux gearbeitet. Ihm ist es gelungen, Enate in kürzester Zeit zu einem Qualitätsbegriff zu machen. Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	11.00	http://www.a-vino.de/images/Enate-Crianza.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=173	ab Lager	0.00			
534	Castillo de Monte la Reina Roble Tinto - 2007	Monte la Reina	A-ES290503	Rotwein|Spanien	Tradition und Gegenwart können sich perfekt vereinen! Flascheninhalt: 0,75 ltr. Charakter: Gut strukturierter Roter mit aus der lokalen Tempranillo-Variante Tinta de Toro. Im Glas leuchtet ein attraktives Kirschrot, am Rand glänzt ein vornehmes Zinnoberrot. Balsamische Aromen im Bukett , ebenso wie deutliche Anklänge an Brombeeren und dunkle Pflaumen sowie Würznoten. Im Mund präsentiert er sich körperreich und vollmundig, die gut eingebundenen Tannine verleihen ihm Ausdruck und Lebendigkeit. Rebsorte: 100 % Tempranillo Region: Toro Das Weingut: Tradition und Gegenwart vereinen sich bei Bodegas Monte la Reina an einem Ort, wo die Vergangenheit eines historischen Landguts dex XI. Jahrhunderts sich mit der Illusion eines neuen Projektes miteinander verbinden. Die beim Landgut Monte la Reina angesiedelte Kellerei in einem architektonisch modernen Stil besitzt 225 ha Weinberge in Lagen, wo die Kälte des Winters und die ausgiebigen Sonnenstunden zusammen mit der Qualität des Bodens den Trauben ihr Aroma, die Vollmundigkeit und den Geschmack verleihen. Die 2004 von Jose Miguel Inaraja Cortes gegründete Kellerei ist heute ein Garant für moderne Weine, die die Tradition nicht verleugnen und trotzdem von moderner Technik wie zum Beispiel einer Vinifizierung mit perfekter Kellertechnik profitieren. Für die Weine zeichnet sich ein engagiertes junges Team um den Önologen Jesu Garcia Alvarez verantwortlich. Der sanft in die Landschaft eingebettete Komplex umfasst mehr als 10.000 m² und ist integriert in ein Landgut von 1.700 Hektar Weinanbaugebiet. Zum berühmten Fluß Duero hin offen, verfügt die Anlage Monte la Reina über ein eigenes Hotel, das zusammen mit einem Restaurant und einem Konferenzsaal als perfekter Treffpunkt für Versammlungen, Weinproben,- lehrgängen und persönliche Besuche genutzt werden kann. Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	9.95	http://www.a-vino.de/images/CastillodeMontelaReinaRobleTinto.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=534	ab Lager	0.00			
319	MARIVAL BLANC Vin de Pays d'Oc 2006/2007	Les Vins de Saint Saturnin		Weisswein|Frankreich	Flascheninhalt: 0,75 ltr. Charakter: erfrischendes Bouquet mit feinwürzigen Akzenten, Aromen von Zitrusfrüchten, pikante Note Das Weingut:   Les Vins de Saint Saturnin, Winzergenossenschaft von 184 Weinbauern, umfasst mit den Gemeinden von Arboras, Jonquières, Saint-Guiraud und Saint-Saturnin de Lucian ein Weinanbaugebiet von insgesamt 760 Ha. Seit 1950 werden hier unsere Weine ausgewählt, gekeltert, aufgezogen, verpackt und verkauft. Saint-Saturnin ist ein verträumtes, südfranzösiches kleines Dorf "mit Herz". Es liegt am Fusse des Berges "Rocher des Deux Vierges", zwischen Montpellier und Lodève. Der Lac du Salagou und auch das pittoreske mittelalterliche Dorf Saint-Guilhem le Désert sind nicht weit. Kommen Sie auf den Kirchplatz und geniessen Sie im Schatten des bekannten Tour Carrée ein Gläschen Wein. Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	5.70	http://www.a-vino.de/images/keins.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=319	ab Lager	0.00			
320	Marival Rouge - Vin de Pays d'Oc 2006	Les Vins de Saint Saturnin	S-1781-06	Rotwein|Frankreich	Ein schöner Wein aus einem der schönsten Dörfer Frankreichs Flascheninhalt: 0,75 ltr. Charakter: duftet nach reifen Kirschen und eingemachten Pflaumen, guter Körper, angenehm voller und runder Geschmack. Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	5.50	http://www.a-vino.de/images/keins.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=320	ab Lager	0.00			
190	Pierre Clavel - Les Garrigues, Coteaux du Languedoc, 2002	Pierre Clavel	E-EN1255	Rotwein|Frankreich	Ein wirklich gelunger Wein von Pierre Clavel, der wirklich in Jahrgang 2002 perfekt harmoniert und in dieser Preisklasse seinesgleichen sucht. Flascheninhalt: 0,75 ltr. Charakter: Aroma von roten und schwarzen Früchten, reife Tannine, ausgeprägte Gewürznote Rebsorte: 50% Syrah, 30% Grenache, 20% Carignan Die Region: Languedoc Ausbau: 12 Monate im Cuve, natürliche Klärung, ungeschönte und nicht filtrierte Abfüllung . Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	6.90	http://www.a-vino.de/images/les_garrigues.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=190	ab Lager	0.00			
192	Enate Merlot-Merlot 2001	Enate	E-EN1245	Rotwein|Spanien	Meditationswein: Nur noch ein kleiner Restbestand des Super Merlots von Enate Flascheninhalt: 0,75 ltr. Charakter: Im Barrique ausgebaut. Schwärzlicher Brombeerton. Sehr konzentriert, vielschichtiges Panorama von Brombeeren, Kaffee, Schokolade, Fülle und Stoff, sehr lang, imposant Rebsorte: Merlot Auszeichnungen: Guia Penin: 94 Punkte, Guia Gourmets: 8,5, Guia de Oro 2002: Gold Das Weingut: Das Weingut liegt an der Südflanke der Pyrenäen. Enate ist ein Dörfchen an einem Flußlauf, der das Gletscherwasser nach Süden führt. Um dieses Dorf liegen die Weinberge der Bodega. Das Klima ist anders als im übrigen Spanien. Sehr kalte, schneereiche Winter wechseln mit langen sonnigen Sommern. Es ist ausreichend Wasser da und von den Bergen weht stets eine Brise. Ein Klima, das nicht nur für rote, sondern auch für weiße Rebsorten optimale Voraussetzungen bietet. Die Bodega ist jung im doppelten Sinn. Sie ist erst vor wenigen Jahren gegründet und wird von einem jungen und sehr kompetenten Team geführt. Der Weinmacher, Jesus Artajona, ist in Bordeaux ausgebildet und hat auf Chateau Margaux gearbeitet. Ihm ist es gelungen, Enate in kürzester Zeit zu einem Qualitätsbegriff zu machen. Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	19.90	http://www.a-vino.de/images/Enate-Merlot-Merlot.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=192	ab Lager	0.00			
193	Blanquette de Limoux - Brut AC Cuvee - Jean Philippe	Collin & Rosier	S-1718	Champagner+Co.|Frankreich	 Unserer Meinung nach, gehört er zu den besten Blanquette de Limoux. Flascheninhalt: 0,75 ltr. Charakter:kleine Perlen im Glas, in der Nase ein feiner Chardonnay-Duft, ausgeprägte Frucht, im Mund trocken mit einer feinen Mousse, deutliche Anklänge von reifen Äpfeln, sehr harmonisch, langer Abgang Auszeichnungen: Selection Guide Hachette 2000: Goldmedaille, Guide Hachette 2005: 2 Sterne . Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	9.50	http://www.a-vino.de/images/JeanPhilippeBlanquette.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=193	ab Lager	0.00			
195	Sherry Garvey Amontillado medium dry	Garvey	M-1288	Sherry/Madeira	Flascheninhalt: 0,75 ltr. Charakter: Halbtrockener Sherry mit einem delikaten Aroma. Bernsteinfarben Als Aperitif sehr geeignet Die Bodega Die Firma Garvey wurde 1780 von William Garvey gegründet, der zu dieser Zeit in Andalusien Pferdezüchter war. Nach der Heirat mit einer Andalusierin wuchs seine Sherry Bodega rasch. Seine unternehmerischen Eigenschaften, harte Arbeit und ein scharfer Geschäftssinn, wurden von den nachfolgenden Generationen übernommen. Sein Sohn verschiffte 1803 zum ersten mal in der Geschichte des Sherry, den meist nur von den Weinbergarbeitern getrunkenen "Fino", trotz des Hohns seiner Konkurrenten, sehr erfolgreich und somit war der San Patricio "Fino" der erste original Fino außerhalb Spaniens. Danach vergrößerte sich der Garvey-Besitz (Weinberge und Bodegen) kontinuierlich. Heute besitzt Garvey rund 500 Hektar Weinberge, von denen die meisten in der "premium" Gegend liegen. Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	8.45		http://www.a-vino.de/index.php?main_page=product_info&products_id=195	ab Lager	0.00			
196	Sherry Garvey Fino Extra Dry	Garvey	M-1288	Sherry/Madeira	Flascheninhalt: 0,75 ltr. Charakter:Ein trockener, sehr delikater Sherry mit hellgoldener Farbe. Passend zu jeder Tageszeit. Die Bodega> Die Firma Garvey wurde 1780 von William Garvey gegründet, der zu dieser Zeit in Andalusien Pferdezüchter war. Nach der Heirat mit einer Andalusierin wuchs seine Sherry Bodega rasch. Seine unternehmerischen Eigenschaften, harte Arbeit und ein scharfer Geschäftssinn, wurden von den nachfolgenden Generationen übernommen. Sein Sohn verschiffte 1803 zum ersten mal in der Geschichte des Sherry, den meist nur von den Weinbergarbeitern getrunkenen "Fino", trotz des Hohns seiner Konkurrenten, sehr erfolgreich und somit war der San Patricio "Fino" der erste original Fino außerhalb Spaniens. Danach vergrößerte sich der Garvey-Besitz (Weinberge und Bodegen) kontinuierlich. Heute besitzt Garvey rund 500 Hektar Weinberge, von denen die meisten in der "premium" Gegend liegen. Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	7.50	http://www.a-vino.de/images/Garvey-Fino-Extra-Dry.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=196	ab Lager	0.00			
197	Sherry Garvey Manzanilla	Garvey	M-1255	Sherry/Madeira	Flascheninhalt: 0,75 ltr. Charakter:Ein trockener, zarter Sherry mit einem salzigen. leicht bitteren Geschmack. Serviertemperatur: 7-10° C. Die Bodega Die Firma Garvey wurde 1780 von William Garvey gegründet, der zu dieser Zeit in Andalusien Pferdezüchter war. Nach der Heirat mit einer Andalusierin wuchs seine Sherry Bodega rasch. Seine unternehmerischen Eigenschaften, harte Arbeit und ein scharfer Geschäftssinn, wurden von den nachfolgenden Generationen übernommen. Sein Sohn verschiffte 1803 zum ersten mal in der Geschichte des Sherry, den meist nur von den Weinbergarbeitern getrunkenen "Fino", trotz des Hohns seiner Konkurrenten, sehr erfolgreich und somit war der San Patricio "Fino" der erste original Fino außerhalb Spaniens. Danach vergrößerte sich der Garvey-Besitz (Weinberge und Bodegen) kontinuierlich. Heute besitzt Garvey rund 500 Hektar Weinberge, von denen die meisten in der "premium" Gegend liegen. Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	8.50		http://www.a-vino.de/index.php?main_page=product_info&products_id=197	ab Lager	0.00			
