name,short_description,size,url,price,category1,category_ids
Château Palmer 3eme Cru Classe Margaux 2003,,75cl,http://www.amathusdrinks.com/chateau-palmer-3eme-cru-classe-margaux-2003.html,130.14,,7
Casta Diva Cosecha Miel 2004,,50cl,http://www.amathusdrinks.com/casta-diva-cosecha-miel-2004.html,6.09,,296
Chianti Classico Montemaggio,"Ruby colour and a spicy perfume with a hint of wood. The bouquet is rich with floral notes, enriched with hints of wild berries, pleasantly tannic taste, and well balanced.",,http://www.amathusdrinks.com/chianti-classico-montemaggio.html,5.85,Wine,296
Ribas Del Cua Mencia Bierzo,"Coffee and herbal flavours are supported by assertive tannins in this solid, rather rustic red, which shows savoury and mineral notes.",75cl,http://www.amathusdrinks.com/ribas-del-cua-mencia-bierzo.html,8.66,Wine,296
Tobia Crianza Rioja,"Dark garnet colour, mature aromas, balanced with a full body, pleasant dry tannins and vanilla on the initial palate with chewy fruit in the mid palate, and a long, soft finish.",75cl,http://www.amathusdrinks.com/tobia-crianza-rioja.html,7.74,Wine,296
"Chablis ""Cuvee Emile Petit"" JM Brocard","A top quality Chablis with fine minerality, restrained citrus fruit, firm structure and a bone dry finish.",75cl,http://www.amathusdrinks.com/chablis-cuvee-emile-petit-jm-brocard.html,9.32,Wine,296
Carmenere Tributo Caliterra Colchagua,"Medium intensity nose of Damson plum, saddle leather, green pepper, raspberry, and some vanilla. On the palate, notes of dark plum, blueberries, leather, cedar, and green pepper are apparent.",75cl,http://www.amathusdrinks.com/carmenere-tributo-caliterra-colchagua.html,7.13,Wine,296
Montepulciano d'Abruzzo CA Brigano,Fresh and fruity with lots of red cherry and soft supple tannins.,75cl,http://www.amathusdrinks.com/montepulciano-d-abruzzo-ca-brigano.html,5.85,Wine,296
Franc Beausejour Bordeaux,Classic notes of blackberry and a hint of cedar wood on the finish.,75cl,http://www.amathusdrinks.com/franc-beausejour-bordeaux.html,5.35,,296
Febe Trebbiano d'Abruzzo DOC,"“Lemon and citrus nose, with subtle spice and herbal aromas; crisp dry fresh palate and delicate anise and citrus flavours on the finish”",75cl,http://www.amathusdrinks.com/febe-trebbiano-d-abruzzo-doc.html,4.95,Wines,662
Muscat de Beaumes de Venise ,,75cl,http://www.amathusdrinks.com/muscat-de-beaumes-de-venise.html,11.15,Wine,"7,104"
Elysium Black Muscat 2007,,37.5cl,http://www.amathusdrinks.com/elysium-black-muscat-2007.html,7.69,Wine,"7,104"
Essencia Orange Muscat 2004,,37.5cl,http://www.amathusdrinks.com/essencia-orange-muscat-2004.html,7.69,Wine,"7,104"
Château Doisy-Daene Barsac Sauternes 2004,,75cl,http://www.amathusdrinks.com/chateau-doisy-daene-barsac-sauternes-2004.html,20.36,Wine,"7,104"
Akashi Tai Tokiwa Premium Rice Shochu,,72cl,http://www.amathusdrinks.com/akashi-tai-tokiwa-premium-rice-shochu.html,14.33,Wine,"7,141"
Isake Classic,,72cl,http://www.amathusdrinks.com/isake-classic.html,12.33,Wine,"7,141"
Sake Sawanotsuru ,,72cl,http://www.amathusdrinks.com/sake-sawanotsuru.html,6.68,Wine,"7,141"
Niigata Star Japanese Sake,,18cl,http://www.amathusdrinks.com/niigata-star-japanese-sake.html,9.58,Wine,"7,141"
