Wine Name|Price|Vintage|Bottle Size|URL
Château Belgrave, 5th Growth Bordeaux|18.99|1999|bottle|http://www.corkr.com/winedetail.php?id=46
Chateau Cantemerle, 5th Growth Bordeaux|15.99|2003|bottle|http://www.corkr.com/winedetail.php?id=13
Chateau Climens, 1er Cru Sauternes|42.99|1986|375ml|http://www.corkr.com/winedetail.php?id=44
Château D'Aurilhac, Bordeaux Cru Bourgeois|13.25|2003|bottle|http://www.corkr.com/winedetail.php?id=55
Chateau Dassault, St-Emilion Grand Cru|47.99|1964|bottle|http://www.corkr.com/winedetail.php?id=30
Chateau Grand-Puy Ducasse, 5th Growth Bordeaux|27.50|1981|bottle|http://www.corkr.com/winedetail.php?id=27
Chateau La Tour Blanche, 1er Cru Sauternes|36.99|1990|375ml|http://www.corkr.com/winedetail.php?id=42
Chateau Lafite-Rothschild, 1st Growth Bordeaux|99.99|1971|bottle|http://www.corkr.com/winedetail.php?id=54
Chateau Lynch Bages, 5th Growth Bordeaux|34.00|1993|bottle|http://www.corkr.com/winedetail.php?id=73
Chateau Montelena, "The Montelena Estate"|39.99|2000|bottle|http://www.corkr.com/winedetail.php?id=25
Château Montrose, 2nd Growth Bordeaux|270.00|1995|3000ml|http://www.corkr.com/winedetail.php?id=70
Château Mouton Baron Philippe|72.00|1964|bottle|http://www.corkr.com/winedetail.php?id=67
Château Mouton Rothschild, 1st Growth Bordeaux|99.99|1981|bottle|http://www.corkr.com/winedetail.php?id=49
Chateau Musar|15.99|1999|bottle|http://www.corkr.com/winedetail.php?id=56
Chateau Rieussec, 1er Grand Cru Sauternes|112.00|1995|3000ml|http://www.corkr.com/winedetail.php?id=69
Château Siran, Margaux Cru Exceptional|92.00|1995|3000ml|http://www.corkr.com/winedetail.php?id=71
Chateau Suduiraut, 1er Cru Sauternes|33.99|1989|375ml|http://www.corkr.com/winedetail.php?id=43
Creekside Estate Winery, Cabernet Sauvignon, "Reserve"|14.99|2002|bottle|http://www.corkr.com/winedetail.php?id=52
Dalla Valle Cabernet Sauvignon, Napa Valley|79.99|1999|bottle|http://www.corkr.com/winedetail.php?id=72
Domaine Métrat et Fils, Fleurie, "La Roilette"|11.99|2005|bottle|http://www.corkr.com/winedetail.php?id=17
Domaine Tortochot, Morey-St-Denis|16.99|2002|bottle|http://www.corkr.com/winedetail.php?id=32
Harlan Estate, Napa Valley |489.00|1997|bottle|http://www.corkr.com/winedetail.php?id=68
Inniskillin, Riesling Icewine, "Dark Horse Estate Vineyard"|59.99|2004|375ml|http://www.corkr.com/winedetail.php?id=9
Jackson-Triggs, Cabernet Sauvignon-Shiraz, "Proprietors' Grand Reserve"|14.99|2002|bottle|http://www.corkr.com/winedetail.php?id=11
Jackson-Triggs, Meritage Blend, "Proprietors' Grand Reserve"|14.99|2002|bottle|http://www.corkr.com/winedetail.php?id=51
Jackson-Triggs, White Meritage Blend, "Proprietors' Grand Reserve"|13.99|2004|bottle|http://www.corkr.com/winedetail.php?id=48
Jeanneret Riesling|9.99|2004|bottle|http://www.corkr.com/winedetail.php?id=21
Kumeu River, Chardonnay|16.99|2004|bottle|http://www.corkr.com/winedetail.php?id=15
Kumeu River, Chardonnay, "Maté's Vineyard"|19.99|2004|bottle|http://www.corkr.com/winedetail.php?id=23
L'Ecole No 41, Cabernet Sauvignon|19.99|2003|bottle|http://www.corkr.com/winedetail.php?id=18
Magnotta, Gewurztraminer|12.99|2004|bottle|http://www.corkr.com/winedetail.php?id=47
Mitolo Shiraz, "Jester"|9.99|2005|bottle|http://www.corkr.com/winedetail.php?id=57
Olivier Merlin, Mâcon, La Roche Vineuse, "Les Cras"|16.99|2002|bottle|http://www.corkr.com/winedetail.php?id=19
Pavillon Rouge du Chateau Margaux|35.99|2001|bottle|http://www.corkr.com/winedetail.php?id=40
Peller Estates, Chardonnay, "Signature Series"|9.99|2004|bottle|http://www.corkr.com/winedetail.php?id=38
Quails' Gate, Chenin Blanc, "Limited Release"|9.99|2005|bottle|http://www.corkr.com/winedetail.php?id=39
Sumac Ridge, Pinnacle White Blend, "Pinnacle"|19.99|2004|bottle|http://www.corkr.com/winedetail.php?id=45
Summerhill Pyramid Winery, Pinot Noir Icewine, "Peace"|31.00|2003|375ml|http://www.corkr.com/winedetail.php?id=3
Two Hands Bella's Garden Barossa Valley Shiraz|26.99|2005|bottle|http://www.corkr.com/winedetail.php?id=59
Two Hands Harry & Edward's Garden Langhorne Creek Shiraz|26.99|2005|bottle|http://www.corkr.com/winedetail.php?id=63
Two Hands Lily's Garden McLaren Vale Shiraz|26.99|2005|bottle|http://www.corkr.com/winedetail.php?id=64
Two Hands Max's Garden Heathcote Shiraz|26.99|2005|bottle|http://www.corkr.com/winedetail.php?id=60
Two Hands Samantha's Garden Clare Valley Shiraz|26.99|2005|bottle|http://www.corkr.com/winedetail.php?id=62
Two Hands Sophie's Garden Padthaway Shiraz|26.99|2005|bottle|http://www.corkr.com/winedetail.php?id=65
Two Hands, Shiraz, "Angels Share"|15.99|2005|bottle|http://www.corkr.com/winedetail.php?id=58
